Costid;Load (kW);DateTime;DateTime.1;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
3;62.934999999999995;2024-07-04 22:00:00;2024-07-04 22:00:00;Thursday;7;2024;22:00:00;2024-07-04
3;80.25;2024-07-04 23:00:00;2024-07-04 23:00:00;Thursday;7;2024;23:00:00;2024-07-04
3;57.025;2024-07-05 00:00:00;2024-07-05 00:00:00;Friday;7;2024;00:00:00;2024-07-05
3;44.85;2024-07-05 01:00:00;2024-07-05 01:00:00;Friday;7;2024;01:00:00;2024-07-05
3;37.690000000000005;2024-07-05 02:00:00;2024-07-05 02:00:00;Friday;7;2024;02:00:00;2024-07-05
3;6.4350000000000005;2024-07-05 03:00:00;2024-07-05 03:00:00;Friday;7;2024;03:00:00;2024-07-05
3;5.025;2024-07-05 04:00:00;2024-07-05 04:00:00;Friday;7;2024;04:00:00;2024-07-05
3;4.425;2024-07-05 05:00:00;2024-07-05 05:00:00;Friday;7;2024;05:00:00;2024-07-05
3;19.445;2024-07-05 06:00:00;2024-07-05 06:00:00;Friday;7;2024;06:00:00;2024-07-05
3;72.34;2024-07-05 07:00:00;2024-07-05 07:00:00;Friday;7;2024;07:00:00;2024-07-05
3;63.5;2024-07-05 08:00:00;2024-07-05 08:00:00;Friday;7;2024;08:00:00;2024-07-05
3;64.23;2024-07-05 09:00:00;2024-07-05 09:00:00;Friday;7;2024;09:00:00;2024-07-05
3;60.37;2024-07-05 10:00:00;2024-07-05 10:00:00;Friday;7;2024;10:00:00;2024-07-05
3;50.97500000000001;2024-07-05 11:00:00;2024-07-05 11:00:00;Friday;7;2024;11:00:00;2024-07-05
3;51.805;2024-07-05 12:00:00;2024-07-05 12:00:00;Friday;7;2024;12:00:00;2024-07-05
3;54.44499999999999;2024-07-05 13:00:00;2024-07-05 13:00:00;Friday;7;2024;13:00:00;2024-07-05
3;54.050000000000004;2024-07-05 14:00:00;2024-07-05 14:00:00;Friday;7;2024;14:00:00;2024-07-05
3;55.005;2024-07-05 15:00:00;2024-07-05 15:00:00;Friday;7;2024;15:00:00;2024-07-05
3;63.925;2024-07-05 16:00:00;2024-07-05 16:00:00;Friday;7;2024;16:00:00;2024-07-05
3;69.455;2024-07-05 17:00:00;2024-07-05 17:00:00;Friday;7;2024;17:00:00;2024-07-05
3;67.96000000000001;2024-07-05 18:00:00;2024-07-05 18:00:00;Friday;7;2024;18:00:00;2024-07-05
3;14.919999999999998;2024-07-05 19:00:00;2024-07-05 19:00:00;Friday;7;2024;19:00:00;2024-07-05
3;11.49;2024-07-05 20:00:00;2024-07-05 20:00:00;Friday;7;2024;20:00:00;2024-07-05
3;21.45;2024-07-05 21:00:00;2024-07-05 21:00:00;Friday;7;2024;21:00:00;2024-07-05
3;85.535;2024-07-05 22:00:00;2024-07-05 22:00:00;Friday;7;2024;22:00:00;2024-07-05
3;74.08;2024-07-05 23:00:00;2024-07-05 23:00:00;Friday;7;2024;23:00:00;2024-07-05
3;56.01;2024-07-06 00:00:00;2024-07-06 00:00:00;Saturday;7;2024;00:00:00;2024-07-06
3;15.190000000000001;2024-07-06 01:00:00;2024-07-06 01:00:00;Saturday;7;2024;01:00:00;2024-07-06
3;15.430000000000001;2024-07-06 02:00:00;2024-07-06 02:00:00;Saturday;7;2024;02:00:00;2024-07-06
3;44.045;2024-07-06 03:00:00;2024-07-06 03:00:00;Saturday;7;2024;03:00:00;2024-07-06
3;39.97;2024-07-06 04:00:00;2024-07-06 04:00:00;Saturday;7;2024;04:00:00;2024-07-06
3;39.895;2024-07-06 05:00:00;2024-07-06 05:00:00;Saturday;7;2024;05:00:00;2024-07-06
3;45.760000000000005;2024-07-06 06:00:00;2024-07-06 06:00:00;Saturday;7;2024;06:00:00;2024-07-06
3;53.67999999999999;2024-07-06 07:00:00;2024-07-06 07:00:00;Saturday;7;2024;07:00:00;2024-07-06
3;60.470000000000006;2024-07-06 08:00:00;2024-07-06 08:00:00;Saturday;7;2024;08:00:00;2024-07-06
3;48.919999999999995;2024-07-06 09:00:00;2024-07-06 09:00:00;Saturday;7;2024;09:00:00;2024-07-06
3;74.1;2024-07-06 10:00:00;2024-07-06 10:00:00;Saturday;7;2024;10:00:00;2024-07-06
3;76.725;2024-07-06 11:00:00;2024-07-06 11:00:00;Saturday;7;2024;11:00:00;2024-07-06
3;75.65500000000002;2024-07-06 12:00:00;2024-07-06 12:00:00;Saturday;7;2024;12:00:00;2024-07-06
3;65.89;2024-07-06 13:00:00;2024-07-06 13:00:00;Saturday;7;2024;13:00:00;2024-07-06
3;68.11500000000001;2024-07-06 14:00:00;2024-07-06 14:00:00;Saturday;7;2024;14:00:00;2024-07-06
3;60.644999999999996;2024-07-06 15:00:00;2024-07-06 15:00:00;Saturday;7;2024;15:00:00;2024-07-06
3;66.4;2024-07-06 16:00:00;2024-07-06 16:00:00;Saturday;7;2024;16:00:00;2024-07-06
3;78.765;2024-07-06 17:00:00;2024-07-06 17:00:00;Saturday;7;2024;17:00:00;2024-07-06
3;78.865;2024-07-06 18:00:00;2024-07-06 18:00:00;Saturday;7;2024;18:00:00;2024-07-06
3;68.07000000000001;2024-07-06 19:00:00;2024-07-06 19:00:00;Saturday;7;2024;19:00:00;2024-07-06
3;23.635;2024-07-06 20:00:00;2024-07-06 20:00:00;Saturday;7;2024;20:00:00;2024-07-06
3;48.8;2024-07-06 21:00:00;2024-07-06 21:00:00;Saturday;7;2024;21:00:00;2024-07-06
3;96.16;2024-07-06 22:00:00;2024-07-06 22:00:00;Saturday;7;2024;22:00:00;2024-07-06
3;71.88000000000001;2024-07-06 23:00:00;2024-07-06 23:00:00;Saturday;7;2024;23:00:00;2024-07-06
3;57.165;2024-07-07 00:00:00;2024-07-07 00:00:00;Sunday;7;2024;00:00:00;2024-07-07
3;48.96;2024-07-07 01:00:00;2024-07-07 01:00:00;Sunday;7;2024;01:00:00;2024-07-07
3;50.46;2024-07-07 02:00:00;2024-07-07 02:00:00;Sunday;7;2024;02:00:00;2024-07-07
3;41.89;2024-07-07 03:00:00;2024-07-07 03:00:00;Sunday;7;2024;03:00:00;2024-07-07
3;35.905;2024-07-07 04:00:00;2024-07-07 04:00:00;Sunday;7;2024;04:00:00;2024-07-07
3;11.51;2024-07-07 05:00:00;2024-07-07 05:00:00;Sunday;7;2024;05:00:00;2024-07-07
3;19.22;2024-07-07 06:00:00;2024-07-07 06:00:00;Sunday;7;2024;06:00:00;2024-07-07
3;67.78500000000001;2024-07-07 07:00:00;2024-07-07 07:00:00;Sunday;7;2024;07:00:00;2024-07-07
3;65.345;2024-07-07 08:00:00;2024-07-07 08:00:00;Sunday;7;2024;08:00:00;2024-07-07
3;56.205;2024-07-07 09:00:00;2024-07-07 09:00:00;Sunday;7;2024;09:00:00;2024-07-07
3;65.08500000000001;2024-07-07 10:00:00;2024-07-07 10:00:00;Sunday;7;2024;10:00:00;2024-07-07
3;59.49;2024-07-07 11:00:00;2024-07-07 11:00:00;Sunday;7;2024;11:00:00;2024-07-07
3;61.355;2024-07-07 12:00:00;2024-07-07 12:00:00;Sunday;7;2024;12:00:00;2024-07-07
3;59.540000000000006;2024-07-07 13:00:00;2024-07-07 13:00:00;Sunday;7;2024;13:00:00;2024-07-07
3;62.15500000000001;2024-07-07 14:00:00;2024-07-07 14:00:00;Sunday;7;2024;14:00:00;2024-07-07
3;53.65500000000001;2024-07-07 15:00:00;2024-07-07 15:00:00;Sunday;7;2024;15:00:00;2024-07-07
3;53.41;2024-07-07 16:00:00;2024-07-07 16:00:00;Sunday;7;2024;16:00:00;2024-07-07
3;22.33;2024-07-07 17:00:00;2024-07-07 17:00:00;Sunday;7;2024;17:00:00;2024-07-07
3;64.66499999999999;2024-07-07 18:00:00;2024-07-07 18:00:00;Sunday;7;2024;18:00:00;2024-07-07
3;66.32;2024-07-07 19:00:00;2024-07-07 19:00:00;Sunday;7;2024;19:00:00;2024-07-07
